name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Istanbul,Turkey",2020-01-01,8.2,4.7,6.4,5.8,1.5,4.2,2.2,74.8,1.79,100,8.33,rain,,0,11.2,24.9,161.8,1022.9,72.1,12.2,64.2,5.6,3,,2020-01-01T08:29:11,2020-01-01T17:45:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-02,6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-03,7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-04,10,5.3,7.2,10,4.3,6.3,1,65.2,0,0,0,,,0,9.4,9.3,254,1017.2,30,13.1,47.4,4,3,,2020-01-04T08:29:24,2020-01-04T17:48:14,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-05,9.1,5.6,6.7,8.7,2.1,4.9,3.3,79.3,2.34,100,8.33,rain,,0,13,18.4,136.6,1014.4,62.8,10.9,25,2.1,2,,2020-01-05T08:29:24,2020-01-05T17:49:09,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-06,7.2,6,6.7,3.9,1.1,2.1,5,89.2,48.72,100,16.67,rain,,3.1,27.7,51.9,62.3,1013.4,90,8.2,6.1,0.7,0,,2020-01-06T08:29:22,2020-01-06T17:50:05,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-07,7,4.7,5.7,2.3,-0.5,0.6,3.9,88.6,26.74,100,16.67,rain,,1.1,,39,64.7,1016.2,90,7.5,10.6,0.9,1,,2020-01-07T08:29:17,2020-01-07T17:51:03,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-08,5.7,4,5.1,1.8,-0.2,0.9,2.3,82.2,9.49,100,16.67,rain,,0.8,,29.5,173.5,1024.4,90,12.4,20.4,1.7,1,,2020-01-08T08:29:10,2020-01-08T17:52:03,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-09,5.8,3.2,4.9,5.1,0,2.4,1.9,81,3.77,100,12.5,rain,,0,,18.4,68.3,1026.5,79.4,12.3,35,2.9,2,,2020-01-09T08:29:01,2020-01-09T17:53:03,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-10,9.1,1.5,4.8,9.1,-1.4,3.8,1.7,81.4,0,0,0,,,0,,9.7,133.6,1024.7,6.5,11.1,108.7,9.3,5,,2020-01-10T08:28:50,2020-01-10T17:54:05,0.5,Clear,Clear conditions throughout the day.,clear-day,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
