DATE_TIME,NUMBER_OF_PASSENGER
2020-01-01 00:00:00,3311
2020-01-01 01:00:00,3316
2020-01-01 02:00:00,2152
2020-01-01 03:00:00,1390
2020-01-01 04:00:00,970
2020-01-01 05:00:00,857
2020-01-01 06:00:00,1473
2020-01-01 07:00:00,2148
2020-01-01 08:00:00,2412
2020-01-01 09:00:00,2748
2020-01-01 10:00:00,3430
2020-01-01 11:00:00,4962
2020-01-01 12:00:00,7360
2020-01-01 13:00:00,9558
2020-01-01 14:00:00,12161
2020-01-01 15:00:00,13242
2020-01-01 16:00:00,14189
2020-01-01 17:00:00,14253
2020-01-01 18:00:00,14064
2020-01-01 19:00:00,10926
2020-01-01 20:00:00,7749
2020-01-01 21:00:00,5885
2020-01-01 22:00:00,4750
2020-01-01 23:00:00,2225
2020-01-02 00:00:00,118
2020-01-02 01:00:00,5
2020-01-02 02:00:00,5
2020-01-02 04:00:00,2
2020-01-02 05:00:00,512
2020-01-02 06:00:00,6053
2020-01-02 07:00:00,22970
2020-01-02 08:00:00,27140
2020-01-02 09:00:00,14533
2020-01-02 10:00:00,9899
2020-01-02 11:00:00,10298
2020-01-02 12:00:00,11821
2020-01-02 13:00:00,11789
2020-01-02 14:00:00,12482
2020-01-02 15:00:00,16622
2020-01-02 16:00:00,19315
2020-01-02 17:00:00,23418
2020-01-02 18:00:00,29779
2020-01-02 19:00:00,17568
2020-01-02 20:00:00,8704
2020-01-02 21:00:00,5756
2020-01-02 22:00:00,4865
2020-01-02 23:00:00,2382
2020-01-03 00:00:00,110
2020-01-03 01:00:00,2
2020-01-03 02:00:00,2
2020-01-03 05:00:00,468
2020-01-03 06:00:00,5594
2020-01-03 07:00:00,21671
2020-01-03 08:00:00,26271
2020-01-03 09:00:00,14347
2020-01-03 10:00:00,10221
2020-01-03 11:00:00,10446
2020-01-03 12:00:00,12260
2020-01-03 13:00:00,11849
2020-01-03 14:00:00,13394
2020-01-03 15:00:00,17247
2020-01-03 16:00:00,20613
2020-01-03 17:00:00,25628
2020-01-03 18:00:00,32256
2020-01-03 19:00:00,19755
2020-01-03 20:00:00,10225
2020-01-03 21:00:00,6879
2020-01-03 22:00:00,5666
2020-01-03 23:00:00,3851
2020-01-04 00:00:00,1350
2020-01-04 01:00:00,639
2020-01-04 02:00:00,377
2020-01-04 03:00:00,209
2020-01-04 04:00:00,105
2020-01-04 05:00:00,403
2020-01-04 06:00:00,2602
2020-01-04 07:00:00,6748
2020-01-04 08:00:00,9853
2020-01-04 09:00:00,8530
2020-01-04 10:00:00,7319
2020-01-04 11:00:00,8719
2020-01-04 12:00:00,12916
2020-01-04 13:00:00,16004
2020-01-04 14:00:00,17003
2020-01-04 15:00:00,16725
2020-01-04 16:00:00,17119
2020-01-04 17:00:00,18988
2020-01-04 18:00:00,19347
2020-01-04 19:00:00,15003
2020-01-04 20:00:00,9872
2020-01-04 21:00:00,7132
2020-01-04 22:00:00,6333
2020-01-04 23:00:00,3895
2020-01-05 00:00:00,1778
2020-01-05 01:00:00,1007
2020-01-05 02:00:00,576
2020-01-05 03:00:00,333
2020-01-05 04:00:00,213
2020-01-05 05:00:00,293
2020-01-05 06:00:00,1364
2020-01-05 07:00:00,2562
2020-01-05 08:00:00,3910
2020-01-05 09:00:00,4753
2020-01-05 10:00:00,5281
2020-01-05 11:00:00,6495
2020-01-05 12:00:00,8855
2020-01-05 13:00:00,11441
2020-01-05 14:00:00,12315
2020-01-05 15:00:00,12944
2020-01-05 16:00:00,13101
2020-01-05 17:00:00,13751
2020-01-05 18:00:00,13515
2020-01-05 19:00:00,10229
2020-01-05 20:00:00,7079
2020-01-05 21:00:00,5444
2020-01-05 22:00:00,4624
2020-01-05 23:00:00,2207
2020-01-06 00:00:00,125
2020-01-06 01:00:00,3
2020-01-06 02:00:00,1
2020-01-06 03:00:00,4
2020-01-06 04:00:00,1
2020-01-06 05:00:00,496
2020-01-06 06:00:00,6369
2020-01-06 07:00:00,23805
2020-01-06 08:00:00,28321
2020-01-06 09:00:00,16188
2020-01-06 10:00:00,10246
2020-01-06 11:00:00,9896
2020-01-06 12:00:00,10882
2020-01-06 13:00:00,10729
2020-01-06 14:00:00,11124
2020-01-06 15:00:00,14949
2020-01-06 16:00:00,17712
2020-01-06 17:00:00,22881
2020-01-06 18:00:00,28225
2020-01-06 19:00:00,15889
2020-01-06 20:00:00,7288
2020-01-06 21:00:00,4930
2020-01-06 22:00:00,3818
2020-01-06 23:00:00,1560
2020-01-07 00:00:00,77
2020-01-07 01:00:00,1
2020-01-07 03:00:00,2
2020-01-07 05:00:00,423
2020-01-07 06:00:00,5758
2020-01-07 07:00:00,22357
2020-01-07 08:00:00,27130
2020-01-07 09:00:00,15275
2020-01-07 10:00:00,9513
2020-01-07 11:00:00,9694
