,NUMBER_OF_PASSENGER,datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,3311,2020-01-01 00:00:00,"Istanbul,Turkey",8.2,4.7,6.4,5.8,1.5,4.2,2.2,74.8,1.79,100,8.33,rain,,0.0,11.2,24.9,161.8,1022.9,72.1,12.2,64.2,5.6,3,,2020-01-01T08:29:11,2020-01-01T17:45:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1,3316,2020-01-01 01:00:00,"Istanbul,Turkey",8.2,4.7,6.4,5.8,1.5,4.2,2.2,74.8,1.79,100,8.33,rain,,0.0,11.2,24.9,161.8,1022.9,72.1,12.2,64.2,5.6,3,,2020-01-01T08:29:11,2020-01-01T17:45:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
2,2152,2020-01-01 02:00:00,"Istanbul,Turkey",8.2,4.7,6.4,5.8,1.5,4.2,2.2,74.8,1.79,100,8.33,rain,,0.0,11.2,24.9,161.8,1022.9,72.1,12.2,64.2,5.6,3,,2020-01-01T08:29:11,2020-01-01T17:45:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
3,1390,2020-01-01 03:00:00,"Istanbul,Turkey",8.2,4.7,6.4,5.8,1.5,4.2,2.2,74.8,1.79,100,8.33,rain,,0.0,11.2,24.9,161.8,1022.9,72.1,12.2,64.2,5.6,3,,2020-01-01T08:29:11,2020-01-01T17:45:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
4,970,2020-01-01 04:00:00,"Istanbul,Turkey",8.2,4.7,6.4,5.8,1.5,4.2,2.2,74.8,1.79,100,8.33,rain,,0.0,11.2,24.9,161.8,1022.9,72.1,12.2,64.2,5.6,3,,2020-01-01T08:29:11,2020-01-01T17:45:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
5,857,2020-01-01 05:00:00,"Istanbul,Turkey",8.2,4.7,6.4,5.8,1.5,4.2,2.2,74.8,1.79,100,8.33,rain,,0.0,11.2,24.9,161.8,1022.9,72.1,12.2,64.2,5.6,3,,2020-01-01T08:29:11,2020-01-01T17:45:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
6,1473,2020-01-01 06:00:00,"Istanbul,Turkey",8.2,4.7,6.4,5.8,1.5,4.2,2.2,74.8,1.79,100,8.33,rain,,0.0,11.2,24.9,161.8,1022.9,72.1,12.2,64.2,5.6,3,,2020-01-01T08:29:11,2020-01-01T17:45:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
7,2148,2020-01-01 07:00:00,"Istanbul,Turkey",8.2,4.7,6.4,5.8,1.5,4.2,2.2,74.8,1.79,100,8.33,rain,,0.0,11.2,24.9,161.8,1022.9,72.1,12.2,64.2,5.6,3,,2020-01-01T08:29:11,2020-01-01T17:45:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
8,2412,2020-01-01 08:00:00,"Istanbul,Turkey",8.2,4.7,6.4,5.8,1.5,4.2,2.2,74.8,1.79,100,8.33,rain,,0.0,11.2,24.9,161.8,1022.9,72.1,12.2,64.2,5.6,3,,2020-01-01T08:29:11,2020-01-01T17:45:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
9,2748,2020-01-01 09:00:00,"Istanbul,Turkey",8.2,4.7,6.4,5.8,1.5,4.2,2.2,74.8,1.79,100,8.33,rain,,0.0,11.2,24.9,161.8,1022.9,72.1,12.2,64.2,5.6,3,,2020-01-01T08:29:11,2020-01-01T17:45:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
10,3430,2020-01-01 10:00:00,"Istanbul,Turkey",8.2,4.7,6.4,5.8,1.5,4.2,2.2,74.8,1.79,100,8.33,rain,,0.0,11.2,24.9,161.8,1022.9,72.1,12.2,64.2,5.6,3,,2020-01-01T08:29:11,2020-01-01T17:45:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
11,4962,2020-01-01 11:00:00,"Istanbul,Turkey",8.2,4.7,6.4,5.8,1.5,4.2,2.2,74.8,1.79,100,8.33,rain,,0.0,11.2,24.9,161.8,1022.9,72.1,12.2,64.2,5.6,3,,2020-01-01T08:29:11,2020-01-01T17:45:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
12,7360,2020-01-01 12:00:00,"Istanbul,Turkey",8.2,4.7,6.4,5.8,1.5,4.2,2.2,74.8,1.79,100,8.33,rain,,0.0,11.2,24.9,161.8,1022.9,72.1,12.2,64.2,5.6,3,,2020-01-01T08:29:11,2020-01-01T17:45:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
13,9558,2020-01-01 13:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
14,12161,2020-01-01 14:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
15,13242,2020-01-01 15:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
16,14189,2020-01-01 16:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
17,14253,2020-01-01 17:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
18,14064,2020-01-01 18:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
19,10926,2020-01-01 19:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
20,7749,2020-01-01 20:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
21,5885,2020-01-01 21:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
22,4750,2020-01-01 22:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
23,2225,2020-01-01 23:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
24,118,2020-01-02 00:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
25,5,2020-01-02 01:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
26,5,2020-01-02 02:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
27,2,2020-01-02 04:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
28,512,2020-01-02 05:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
29,6053,2020-01-02 06:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
30,22970,2020-01-02 07:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
31,27140,2020-01-02 08:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
