fusedhour,toplam_yolcu,weekDay,datetime,temp,rain,"rain,snow",snow,AVERAGE_SPEED,trafficIndex
0,4132,7,2022-01-01 00:00:00,8.8,1,0,0,"60,488715304",48.6
5,947,7,2022-01-01 05:00:00,8.8,1,0,0,"66,633641685",43.2
6,1618,7,2022-01-01 06:00:00,8.8,1,0,0,"65,387205492",45.0
7,2060,7,2022-01-01 07:00:00,8.8,1,0,0," 64,62633182",46.8
8,2219,7,2022-01-01 08:00:00,8.8,1,0,0,"63,081663319",48.6
9,2594,7,2022-01-01 09:00:00,8.8,1,0,0,"64,414585261",46.8
10,3426,7,2022-01-01 10:00:00,8.8,1,0,0,"62,564123628",45.36
11,4847,7,2022-01-01 11:00:00,8.8,1,0,0,"61,529383522",46.980000000000004
12,7215,7,2022-01-01 12:00:00,8.8,1,0,0,"59,339746799",50.22
13,8826,7,2022-01-01 13:00:00,8.8,1,0,0,"56,478553001",55.080000000000005
14,10398,7,2022-01-01 14:00:00,8.8,1,0,0,"54,812932412",58.32
15,10948,7,2022-01-01 15:00:00,8.8,1,0,0,"53,309519114",59.94
16,11831,7,2022-01-01 16:00:00,8.8,1,0,0," 52,60466409",61.56000000000001
17,13403,7,2022-01-01 17:00:00,8.8,1,0,0," 50,66907941",64.8
18,12340,7,2022-01-01 18:00:00,8.8,1,0,0,"51,517293135",63.18000000000001
19,10097,7,2022-01-01 19:00:00,8.8,1,0,0,"52,809119651",61.56000000000001
20,7541,7,2022-01-01 20:00:00,8.8,1,0,0,"54,633524746",58.32
21,5750,7,2022-01-01 21:00:00,8.8,1,0,0," 55,82476426",56.7
22,5249,7,2022-01-01 22:00:00,8.8,1,0,0,"57,110479923",53.46
23,2815,7,2022-01-01 23:00:00,8.8,1,0,0,"58,337678477",51.84
0,872,6,2022-01-02 00:00:00,9.6,1,0,0,"60,282467188",48.6
5,175,6,2022-01-02 05:00:00,9.6,1,0,0,"67,284240301",41.4
6,1168,6,2022-01-02 06:00:00,9.6,1,0,0,"65,766299729",45.0
7,2080,6,2022-01-02 07:00:00,9.6,1,0,0,"64,832391407",46.8
8,2829,6,2022-01-02 08:00:00,9.6,1,0,0," 63,02282411",48.6
9,3360,6,2022-01-02 09:00:00,9.6,1,0,0,"63,562117559",48.6
10,3651,6,2022-01-02 10:00:00,9.6,1,0,0,"61,779154492",46.980000000000004
11,4442,6,2022-01-02 11:00:00,9.6,1,0,0,"60,152229581",48.6
12,6124,6,2022-01-02 12:00:00,9.6,1,0,0,"59,040261335",50.22
13,7892,6,2022-01-02 13:00:00,9.6,1,0,0,"57,028379524",53.46
14,8807,6,2022-01-02 14:00:00,9.6,1,0,0,"55,211976257",56.7
15,8790,6,2022-01-02 15:00:00,9.6,1,0,0,"54,181979225",58.32
16,9432,6,2022-01-02 16:00:00,9.6,1,0,0,"54,254545251",58.32
17,10004,6,2022-01-02 17:00:00,9.6,1,0,0,"54,153215291",58.32
18,10133,6,2022-01-02 18:00:00,9.6,1,0,0,"54,850180934",58.32
19,8333,6,2022-01-02 19:00:00,9.6,1,0,0,"55,163106164",56.7
20,6296,6,2022-01-02 20:00:00,9.6,1,0,0,"56,362445057",55.080000000000005
21,4933,6,2022-01-02 21:00:00,9.6,1,0,0,"57,579802074",53.46
22,4294,6,2022-01-02 22:00:00,9.6,1,0,0,"58,473709742",51.84
23,1981,6,2022-01-02 23:00:00,9.6,1,0,0," 60,82080991",48.6
0,83,0,2022-01-03 00:00:00,10.0,0,0,0,"63,389128646",48.6
5,581,0,2022-01-03 05:00:00,10.0,0,0,0,"65,930217175",45.0
6,5680,0,2022-01-03 06:00:00,10.0,0,0,0,"58,489449158",51.84
7,19474,0,2022-01-03 07:00:00,10.0,0,0,0,"53,594695682",59.94
8,21256,0,2022-01-03 08:00:00,10.0,0,0,0,"50,184620496",64.8
9,11233,0,2022-01-03 09:00:00,10.0,0,0,0,"51,235576432",63.18000000000001
10,7896,0,2022-01-03 10:00:00,10.0,0,0,0,"54,720849395",58.32
11,7877,0,2022-01-03 11:00:00,10.0,0,0,0,"55,869005917",56.7
12,9274,0,2022-01-03 12:00:00,10.0,0,0,0,"55,236560449",56.7
13,9381,0,2022-01-03 13:00:00,10.0,0,0,0,"53,919724831",59.94
14,9995,0,2022-01-03 14:00:00,10.0,0,0,0,"54,318633201",58.32
15,13196,0,2022-01-03 15:00:00,10.0,0,0,0,"53,072749154",59.94
16,15888,0,2022-01-03 16:00:00,10.0,0,0,0,"51,800985001",63.18000000000001
17,20345,0,2022-01-03 17:00:00,10.0,0,0,0,"50,887026436",64.8
19,13228,0,2022-01-03 19:00:00,10.0,0,0,0,"48,341321059",68.03999999999999
20,7174,0,2022-01-03 20:00:00,10.0,0,0,0," 53,71957781",59.94
21,4916,0,2022-01-03 21:00:00,10.0,0,0,0,"57,058533193",53.46
22,4066,0,2022-01-03 22:00:00,10.0,0,0,0,"59,428678717",50.22
23,1907,0,2022-01-03 23:00:00,10.0,0,0,0," 60,75424681",48.6
0,70,1,2022-01-04 00:00:00,11.5,0,0,0,"62,726304221",45.36
5,543,1,2022-01-04 05:00:00,11.5,0,0,0,"66,591592566",43.2
6,5322,1,2022-01-04 06:00:00,11.5,0,0,0,"59,035672271",50.22
7,18516,1,2022-01-04 07:00:00,11.5,0,0,0,"54,475445107",58.32
8,20767,1,2022-01-04 08:00:00,11.5,0,0,0,"51,158473543",63.18000000000001
9,10895,1,2022-01-04 09:00:00,11.5,0,0,0,"52,381681731",61.56000000000001
10,8208,1,2022-01-04 10:00:00,11.5,0,0,0,"54,576429927",58.32
11,8287,1,2022-01-04 11:00:00,11.5,0,0,0,"55,092841764",56.7
12,9518,1,2022-01-04 12:00:00,11.5,0,0,0,"53,798371877",59.94
13,9523,1,2022-01-04 13:00:00,11.5,0,0,0,"52,471604875",61.56000000000001
14,10137,1,2022-01-04 14:00:00,11.5,0,0,0,"52,937311055",61.56000000000001
15,13003,1,2022-01-04 15:00:00,11.5,0,0,0,"51,846950775",63.18000000000001
16,15405,1,2022-01-04 16:00:00,11.5,0,0,0,"51,286821823",63.18000000000001
17,20088,1,2022-01-04 17:00:00,11.5,0,0,0,"50,240288753",64.8
19,13260,1,2022-01-04 19:00:00,11.5,0,0,0,"47,635850664",69.66000000000001
20,7234,1,2022-01-04 20:00:00,11.5,0,0,0,"53,049476534",59.94
21,5174,1,2022-01-04 21:00:00,11.5,0,0,0,"56,702595108",55.080000000000005
22,4419,1,2022-01-04 22:00:00,11.5,0,0,0,"58,689938577",51.84
23,1984,1,2022-01-04 23:00:00,11.5,0,0,0,"60,485154888",48.6
0,65,2,2022-01-05 00:00:00,13.0,0,0,0,"62,360668214",45.36
5,535,2,2022-01-05 05:00:00,13.0,0,0,0," 66,28883083",43.2
6,5147,2,2022-01-05 06:00:00,13.0,0,0,0,"59,567547278",50.22
7,17983,2,2022-01-05 07:00:00,13.0,0,0,0," 54,74337591",58.32
8,20659,2,2022-01-05 08:00:00,13.0,0,0,0,"51,962733385",63.18000000000001
9,11007,2,2022-01-05 09:00:00,13.0,0,0,0,"52,685885099",61.56000000000001
10,8252,2,2022-01-05 10:00:00,13.0,0,0,0,"53,724279786",59.94
11,8707,2,2022-01-05 11:00:00,13.0,0,0,0,"54,328817286",58.32
12,9849,2,2022-01-05 12:00:00,13.0,0,0,0,"54,021235176",58.32
13,9834,2,2022-01-05 13:00:00,13.0,0,0,0,"52,726515345",61.56000000000001
14,10049,2,2022-01-05 14:00:00,13.0,0,0,0,"53,006867187",59.94
15,13177,2,2022-01-05 15:00:00,13.0,0,0,0," 52,01364857",61.56000000000001
16,15587,2,2022-01-05 16:00:00,13.0,0,0,0,"50,994282978",64.8
17,19892,2,2022-01-05 17:00:00,13.0,0,0,0,"50,111570361",64.8
19,13255,2,2022-01-05 19:00:00,13.0,0,0,0,"47,211113905",69.66000000000001
20,7437,2,2022-01-05 20:00:00,13.0,0,0,0,"51,915870139",63.18000000000001
21,5401,2,2022-01-05 21:00:00,13.0,0,0,0,"55,891646959",56.7
22,4395,2,2022-01-05 22:00:00,13.0,0,0,0," 57,55698707",53.46
23,2317,2,2022-01-05 23:00:00,13.0,0,0,0,"59,759410914",50.22
0,81,3,2022-01-06 00:00:00,14.7,0,0,0," 61,77189117",46.980000000000004
5,509,3,2022-01-06 05:00:00,14.7,0,0,0,"65,589592423",45.0
6,5168,3,2022-01-06 06:00:00,14.7,0,0,0,"57,939059285",53.46
7,17425,3,2022-01-06 07:00:00,14.7,0,0,0,"    53,89155",59.94
8,19905,3,2022-01-06 08:00:00,14.7,0,0,0,"51,525186766",63.18000000000001
9,10960,3,2022-01-06 09:00:00,14.7,0,0,0,"52,428474899",61.56000000000001
10,7970,3,2022-01-06 10:00:00,14.7,0,0,0,"54,012540962",58.32
