,Unnamed: 0,datetime,NUMBER_OF_PASSENGER_y,temp,humidity,snowdepth,windspeed,sealevelpressure,visibility,uvindex,severerisk,Clear,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy","Snow, Rain, Partially cloudy",AVERAGE_SPEED,weekDay
0,0,2020-01-01 00:00:00,3311,6.4,74.8,0.0,24.9,1022.9,12.2,3,,0,0,0,0,1,0,62,2
1,1,2020-01-01 01:00:00,3316,6.4,74.8,0.0,24.9,1022.9,12.2,3,,0,0,0,0,1,0,61,2
2,2,2020-01-01 02:00:00,2152,6.4,74.8,0.0,24.9,1022.9,12.2,3,,0,0,0,0,1,0,66,2
3,3,2020-01-01 03:00:00,1390,6.4,74.8,0.0,24.9,1022.9,12.2,3,,0,0,0,0,1,0,71,2
4,4,2020-01-01 04:00:00,970,6.4,74.8,0.0,24.9,1022.9,12.2,3,,0,0,0,0,1,0,70,2
5,5,2020-01-01 05:00:00,857,6.4,74.8,0.0,24.9,1022.9,12.2,3,,0,0,0,0,1,0,70,2
6,6,2020-01-01 06:00:00,1473,6.4,74.8,0.0,24.9,1022.9,12.2,3,,0,0,0,0,1,0,67,2
7,7,2020-01-01 07:00:00,2148,6.4,74.8,0.0,24.9,1022.9,12.2,3,,0,0,0,0,1,0,67,2
8,8,2020-01-01 08:00:00,2412,6.4,74.8,0.0,24.9,1022.9,12.2,3,,0,0,0,0,1,0,64,2
9,9,2020-01-01 09:00:00,2748,6.4,74.8,0.0,24.9,1022.9,12.2,3,,0,0,0,0,1,0,63,2
10,10,2020-01-01 10:00:00,3430,6.4,74.8,0.0,24.9,1022.9,12.2,3,,0,0,0,0,1,0,63,2
11,11,2020-01-01 11:00:00,4962,6.4,74.8,0.0,24.9,1022.9,12.2,3,,0,0,0,0,1,0,62,2
12,12,2020-01-01 12:00:00,7360,6.4,74.8,0.0,24.9,1022.9,12.2,3,,0,0,0,0,1,0,60,2
13,13,2020-01-01 13:00:00,9558,5.4,83.2,0.1,26.8,1026.4,12.0,3,,0,0,0,0,1,0,58,2
14,14,2020-01-01 14:00:00,12161,5.4,83.2,0.1,26.8,1026.4,12.0,3,,0,0,0,0,1,0,57,2
15,15,2020-01-01 15:00:00,13242,5.4,83.2,0.1,26.8,1026.4,12.0,3,,0,0,0,0,1,0,56,2
16,16,2020-01-01 16:00:00,14189,5.4,83.2,0.1,26.8,1026.4,12.0,3,,0,0,0,0,1,0,55,2
17,17,2020-01-01 17:00:00,14253,5.4,83.2,0.1,26.8,1026.4,12.0,3,,0,0,0,0,1,0,54,2
18,18,2020-01-01 18:00:00,14064,5.4,83.2,0.1,26.8,1026.4,12.0,3,,0,0,0,0,1,0,55,2
19,19,2020-01-01 19:00:00,10926,5.4,83.2,0.1,26.8,1026.4,12.0,3,,0,0,0,0,1,0,55,2
20,20,2020-01-01 20:00:00,7749,5.4,83.2,0.1,26.8,1026.4,12.0,3,,0,0,0,0,1,0,57,2
21,21,2020-01-01 21:00:00,5885,5.4,83.2,0.1,26.8,1026.4,12.0,3,,0,0,0,0,1,0,58,2
22,22,2020-01-01 22:00:00,4750,5.4,83.2,0.1,26.8,1026.4,12.0,3,,0,0,0,0,1,0,59,2
23,23,2020-01-01 23:00:00,2225,5.4,83.2,0.1,26.8,1026.4,12.0,3,,0,0,0,0,1,0,61,2
24,24,2020-01-02 00:00:00,118,5.4,83.2,0.1,26.8,1026.4,12.0,3,,0,0,0,0,1,0,64,3
25,25,2020-01-02 01:00:00,5,5.4,83.2,0.1,26.8,1026.4,12.0,3,,0,0,0,0,1,0,68,3
26,26,2020-01-02 02:00:00,5,5.4,83.2,0.1,26.8,1026.4,12.0,3,,0,0,0,0,1,0,69,3
27,27,2020-01-02 04:00:00,2,5.4,83.2,0.1,26.8,1026.4,12.0,3,,0,0,0,0,1,0,72,3
28,28,2020-01-02 05:00:00,512,5.4,83.2,0.1,26.8,1026.4,12.0,3,,0,0,0,0,1,0,69,3
29,29,2020-01-02 06:00:00,6053,5.4,83.2,0.1,26.8,1026.4,12.0,3,,0,0,0,0,1,0,58,3
