fusedyear,fusedmonth,fusedday,fusedhour,toplam_yolcu
2020,1,1,0,3660
2020,1,1,1,3727
2020,1,1,2,2499
2020,1,1,3,1598
2020,1,1,4,1114
2020,1,1,5,948
2020,1,1,6,1465
2020,1,1,7,2082
2020,1,1,8,2373
2020,1,1,9,2767
2020,1,1,10,3524
2020,1,1,11,5175
2020,1,1,12,7701
2020,1,1,13,10149
2020,1,1,14,12954
2020,1,1,15,14068
2020,1,1,16,15036
2020,1,1,17,15011
2020,1,1,18,14819
2020,1,1,19,11444
2020,1,1,20,8099
2020,1,1,21,6090
2020,1,1,22,4927
2020,1,1,23,2228
2020,1,2,0,90
2020,1,2,1,0
2020,1,2,2,0
2020,1,2,4,0
2020,1,2,5,473
2020,1,2,6,5607
2020,1,2,7,21548
2020,1,2,9,13764
2020,1,2,10,9496
2020,1,2,11,9918
2020,1,2,12,11388
2020,1,2,13,11391
2020,1,2,14,12108
2020,1,2,15,16144
2020,1,2,16,18538
2020,1,2,17,22462
2020,1,2,19,16853
2020,1,2,20,8381
2020,1,2,21,5600
2020,1,2,22,4759
2020,1,2,23,2343
2020,1,3,0,97
2020,1,3,1,0
2020,1,3,2,0
2020,1,3,5,444
2020,1,3,6,5328
2020,1,3,7,21040
2020,1,3,9,14182
2020,1,3,10,10179
2020,1,3,11,10463
2020,1,3,12,12289
2020,1,3,13,11822
2020,1,3,14,13439
2020,1,3,15,17250
2020,1,3,16,20624
2020,1,3,19,19730
2020,1,3,20,10283
2020,1,3,21,6999
2020,1,3,22,5691
2020,1,3,23,3794
2020,1,4,0,1319
2020,1,4,1,630
2020,1,4,2,382
2020,1,4,3,209
2020,1,4,4,102
2020,1,4,5,367
2020,1,4,6,2403
2020,1,4,7,6320
2020,1,4,8,9312
2020,1,4,9,8125
2020,1,4,10,7140
2020,1,4,11,8512
2020,1,4,12,12665
2020,1,4,13,15760
2020,1,4,14,16695
2020,1,4,15,16533
2020,1,4,16,16846
2020,1,4,17,18709
2020,1,4,18,19073
2020,1,4,19,14757
2020,1,4,20,9743
2020,1,4,21,7069
2020,1,4,22,6281
2020,1,4,23,3933
2020,1,5,0,1881
2020,1,5,1,1088
2020,1,5,2,617
2020,1,5,3,348
2020,1,5,4,218
2020,1,5,5,286
2020,1,5,6,1317
2020,1,5,7,2488
2020,1,5,8,3847
2020,1,5,9,4747
2020,1,5,10,5427
2020,1,5,11,6666
2020,1,5,12,9140
2020,1,5,13,11852
2020,1,5,14,12886
2020,1,5,15,13501
2020,1,5,16,13632
2020,1,5,17,14248
2020,1,5,18,13952
2020,1,5,19,10551
2020,1,5,20,7297
2020,1,5,21,5614
2020,1,5,22,4731
2020,1,5,23,2222
2020,1,6,0,84
2020,1,6,1,0
2020,1,6,2,0
2020,1,6,3,0
2020,1,6,4,0
2020,1,6,5,480
2020,1,6,6,6141
2020,1,6,9,16058
2020,1,6,10,10261
2020,1,6,11,9977
2020,1,6,12,10915
2020,1,6,13,10809
2020,1,6,14,11197
2020,1,6,15,14928
2020,1,6,16,17790
2020,1,6,19,15831
2020,1,6,20,7288
2020,1,6,21,4923
2020,1,6,22,3815
2020,1,6,23,1526
2020,1,7,0,63
2020,1,7,3,0
2020,1,7,5,403
2020,1,7,6,5504
2020,1,7,7,21718
2020,1,7,9,15075
2020,1,7,10,9455
2020,1,7,11,9569
2020,1,7,12,10609
2020,1,7,13,10644
2020,1,7,14,10784
2020,1,7,15,14996
2020,1,7,16,17986
2020,1,7,17,21948
2020,1,7,19,15479
2020,1,7,20,7440
2020,1,7,21,4940
2020,1,7,22,3834
2020,1,7,23,1730
2020,1,8,0,60
2020,1,8,1,0
2020,1,8,2,0
2020,1,8,3,0
2020,1,8,4,0
2020,1,8,5,423
2020,1,8,6,5246
2020,1,8,7,20738
2020,1,8,9,13339
2020,1,8,10,9003
